ID,Nome,Graduação,Tamanho,Tipo de Proteção,Localidade,Montanha,Número de Proteções,Conquistadores,Data da Conquista,Clube,Descrição
1738631653918,Sonia Bugim,Graduação: 3° IV D1 E1/E2,Tamanho: 100 metros,Tipo de Proteção: Via,"Localidade: RJ, Maricá / RJ - BRASIL (Ver no Google)",Montanha: Pedra dos Macacos,Número de Proteções: 8,Conquistadores: Pedro Bugim e Antonio Dias,Data da Conquista: 03/11/1996,Clube: Centro Excursionista Brasileiro,"Descrição: Via dividida em três partes distintas, segundo pela face norte da montanha (parte de trás). possui um lance em móvel ao final da primeira enfiada (stoppers médios), sendo este, o crux da via."
1738631655181,Dois de Maio,Graduação: V E1/E2,Tamanho: 15 metros,Tipo de Proteção: Via,"Localidade: Inoã, Inoã / RJ - BRASIL (Ver no Google)",Montanha: Pedra dos Macacos,Número de Proteções: 2,Conquistadores: Pedro Bugim e Antonio Dias,Data da Conquista: 02/05/1998,Clube: Centro Excursionista Brasileiro,Descrição: Sem descrilção
1738631656256,Almadém,Graduação: VIIa E1,Tamanho: 10 metros,Tipo de Proteção: Variante,"Localidade: Inoã, Inoã / RJ - BRASIL (Ver no Google)",Montanha: Pedra dos Macacos,Número de Proteções: 2,Conquistadores: Pedro Bugim e Antonio Dias,Data da Conquista: 02/05/1998,Clube: Centro Excursionista Brasileiro,"Descrição: Via curta, porém muito interessante, que segue por uma parede levemente negativa, em pequenos regletes."
1738631657294,Aranha Bêbada,Graduação: VIIa A1 E1,Tamanho: 20 metros,Tipo de Proteção: Via,"Localidade: Arapeí, Arapeí / SP - BRASIL (Ver no Google)",Montanha: Falésia de Arapeí,Número de Proteções: 8,Conquistadores: Pedro Bugim e Antonio Dias,Data da Conquista: 21/10/1998,Clube: Centro Excursionista Brasileiro,"Descrição: Via curta que mescla lances em livre e alguns lances em A1, com grampos de 1/2, em parede sempre bem negativa."
1738631658361,Abandonados,Graduação: 5° VIIa A2 D1 E3,Tamanho: 70 metros,Tipo de Proteção: Via,"Localidade: Laranjeiras, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Morro Dona Marta,Número de Proteções: 9,Conquistadores: Pedro Bugim e André Dias,Data da Conquista: 08/09/2002,Clube: Centro Excursionista Brasileiro,"Descrição: Via curta, porém interessante e desafiadora"
1738631659637,Fissura do Avestruz,Graduação: V E1,Tamanho: 10 metros,Tipo de Proteção: Via,"Localidade: Vila do Abraão, Angra dos Reis / RJ - BRASIL (Ver no Google)",Montanha: Pico do Papagaio,Número de Proteções: 3,Conquistadores: Pedro Bugim e Antonio Dias,Data da Conquista: 09/02/2003,Clube: Centro Excursionista Brasileiro,"Descrição: Via curta que iniciada na trilha do Pico do Papagaio, já quase no topo. Segue por uma parede levemente negativa, contando com duas chapeletas e um grampo ao final."
1738631661480,Via dos Puristas,Graduação: IV sup A2 D1 E2,Tamanho: 45 metros,Tipo de Proteção: Via,"Localidade: Laranjeiras, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Morro Dona Marta,Número de Proteções: 3,Conquistadores: Pedro Bugim e Patrícia Duffles,Data da Conquista: 20/02/2003,Clube: Centro Excursionista Brasileiro,"Descrição: Via mista, localizada na extrema direita do Anfiteatro, na face Leste do Morro Dona Marta. Entrada pela rua Belisário Távora."
1738631662598,Calonge,Graduação: 4° VI A0 D1 E3,Tamanho: 70 metros,Tipo de Proteção: Via,"Localidade: Centro, Caconde / SP - BRASIL (Ver no Google)",Montanha: Escarpa do Rosseto,Número de Proteções: 20,"Conquistadores: Pedro Bugim, André Dias e Rodrigo Taveira",Data da Conquista: 13/09/2003,Clube: Centro Excursionista Brasileiro,"Descrição: Via mista localizada na Escarpa do Rosseto, em Caconde."
1738631663663,"Não Caia, Vr.",Graduação: A3 E4,Tamanho: 8 metros,Tipo de Proteção: Variante,"Localidade: Centro, Caconde / SP - BRASIL (Ver no Google)",Montanha: Escarpa do Rosseto,Número de Proteções: 0,Conquistadores: Pedro Bugim e André Dias,Data da Conquista: 14/09/2003,Clube: Centro Excursionista Brasileiro,"Descrição: Variante da via ""Calonge"", segue em artificial por furos de cliff, ao invés de seguir pelo artificial fixo da via original"
1738631664949,Diretíssima Gleiser,Graduação: 5° V A2+ D1 E5,Tamanho: 70 metros,Tipo de Proteção: Via,"Localidade: Laranjeiras, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Morro Dona Marta,Número de Proteções: 3,Conquistadores: Pedro Bugim,Data da Conquista: 19/09/2003,Clube: Centro Excursionista Brasileiro,"Descrição: Via conquistada em solitário, contando com um grampo ao final e duas chapeletes para rapel com corda única. Lances delicados em micro stoppers, cliffs de agarra e buracos de cliff, além de algumas passadas em livre bastante expostas."
1738631666190,"Talibã, Vr.",Graduação: VIIb A1 E1,Tamanho: 15 metros,Tipo de Proteção: Variante,"Localidade: Alto da Boa Vista, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Bico do Papagaio,Número de Proteções: 5,Conquistadores: Pedro Bugim e Egito,Data da Conquista: 27/03/2004,Clube: Centro Excursionista Brasileiro,"Descrição: Inicia imediatamente acima da segunda chaminé do Pr. Bolha D´água e segue reto, entre o final desta via e da Vr. Lilith. Seu início é bem atlético e técnico o mesmo tempo. Depois, possui duas passadas em cliff de buraco. O final é feito em aderência, até o cume."
1738631667233,Fissura Molhadinha,Graduação: IV A2 E1,Tamanho: 12 metros,Tipo de Proteção: Fissura,"Localidade: Inoã, Inoã / RJ - BRASIL (Ver no Google)",Montanha: Pedra dos Macacos,Número de Proteções: 0,Conquistadores: Pedro Bugim e Leandro Godoy,Data da Conquista: 15/05/2004,Clube: Centro Excursionista Brasileiro,Descrição: Fissura levemente negativa iniciada em lances fáceis e depois evoluindo para artificial móvel com stoppers e friends pequenos. Parada no topo com friends pequenos e médios.
1738631668570,Carrapicho Suicida,Graduação: 5° VIIa D1 E4,Tamanho: 80 metros,Tipo de Proteção: Via,"Localidade: Santa Rita, Teresópolis / RJ - BRASIL (Ver no Google)",Montanha: Falésia Santa Rita,Número de Proteções: 2,Conquistadores: Pedro Bugim e André Dias,Data da Conquista: 18/07/2004,Clube: Centro Excursionista Brasileiro,"Descrição: Via que inicia em uma belíssima laca distante cerca de dois metros da parede principal, feita em oposição e protegida por stoppers e friends pequenos, até a P1, em grampo de 1/2. Deste ponto em diante, aderência delicada e exposta, até um enorme platô, no qual anda-se para a direita até passar o negativo. A parte final passa por uma parede levemente negativa no início, protegida por micro-friends e pittons, em um lance bem delicado (crux da via). Depois disso, lances de 6° grau em micro agarras e aderência até o último grampo da via (esses lances são bem expostos)."
1738631669995,Chuva Seca,Graduação: VIIb A2 E1,Tamanho: 14 metros,Tipo de Proteção: Fissura,"Localidade: Barra de Guaratiba, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Pedra da Tartaruga,Número de Proteções: 1,Conquistadores: Pedro Bugim e Antonio Dias,Data da Conquista: 30/10/2005,Clube: Centro Excursionista Brasileiro,"Descrição: Via que segue a fissura em diagonal sobre a antiga casa do ""Batata"", na Pedra da Tartaruga. Leve micro stoppers, micro friends e pittons. Ótima via para quem está começando a escalar em artificial móvel. Protegida com um grampo ao final, para o rapel."
1738631671005,Rainildo Silva,Graduação: VI sup A2 D1 E1,Tamanho: 20 metros,Tipo de Proteção: Diedro,"Localidade: Urca, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Pão de Açúcar,Número de Proteções: 1,Conquistadores: Pedro Bugim e Flavio de Lima,Data da Conquista: 30/12/2005,Clube: Centro Excursionista Brasileiro,"Descrição: Linda via que fica na extrema direita dos tetos do Pão de Açúcar. Inicia em livre, com lances de 6ºsup, evoluindo para micro fissuras negativas, feitas em artificial móvel, até o grampo no topo da via. Leve stoppers, micro-friends, friends médios e pittons."
1738631672123,Stalingrado,Graduação: 6° VIIIa A2 D1 E1,Tamanho: 40 metros,Tipo de Proteção: Fissura,"Localidade: Barra de Guaratiba, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Pedra da Tartaruga,Número de Proteções: 1,Conquistadores: Pedro Bugim e André Ilha,Data da Conquista: 14/01/2006,Clube: Centro Excursionista Brasileiro,"Descrição: Belíssima via que corta todo o negativo da ""Cabeça"" da tartaruga (onde faz-se o famoso rapel negativo). Possui um grampo em seu início, antes de pegar as fendas perfeitas que seguem até ao cume. É recomendável fazer uma parada em sua metade, para evitar o trito da corda. Levar um bom jogo de friends, stoppers e hexentrics. Parada no topo com friends médios."
1738631673161,Depois da Tempestade,Graduação: III sup E1,Tamanho: 25 metros,Tipo de Proteção: Via,"Localidade: RJ, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Morro do Leme,Número de Proteções: 5,Conquistadores: Pedro Bugim e Aline Garcia,Data da Conquista: 28/01/2006,Clube: Centro Excursionista Brasileiro,"Descrição: Via curta e fácil, que inicia no primeiro grampo da via ""Dois por um""."
1738631674511,Feijão Amigo,Graduação: 5° VI sup D1 E1,Tamanho: 65 metros,Tipo de Proteção: Via,"Localidade: Laranjeiras, Rio de Janeiro / RJ - BRASIL (Ver no Google)",Montanha: Morro Dona Marta,Número de Proteções: 6,"Conquistadores: Pedro Bugim, André Dias e Liana Gleiser",Data da Conquista: 04/02/2006,Clube: Centro Excursionista Brasileiro,"Descrição: Via mista que segue pela esquerda da ""Abandonados"", terminando ao final das fendas da via ""Segredo do Abismo""."
